scielo_id	seq	instituicao	localidade	pais
S1415-47572006000300013	1	,Universidade Estadual de Ponta Grossa Setor de Ciências Biológicas e da Saúde Departamento de Biologia Estrutural, Molecular e Genética	Ponta Grossa PR	Brazil
S1415-47572006000300013	2	,Universidade de São Paulo Museu de Zoologia 	São Paulo SP	Brazil
S1415-47572006000300013	3	,Universidade Estadual Paulista Instituto de Biociências Departamento de Biologia	Rio Claro SP	Brazil
S1415-47572006000300014	1	,Universidade de São Paulo Faculdade de Medicina de Ribeirão Preto Departamento de Genética	Ribeirão Preto SP	Brazil
S1415-47572006000300014	2	,Universidade Federal do Tocantins  	Porto Nacional TO	Brazil
S1415-47572006000300014	3	,Embrapa Cerrados  	Planaltina DF	Brazil
S1415-47572006000300015	1	,Universidade Federal de São Carlos Departamento de Genética e Evolução Laboratório de Imunogenética	São Carlos SP	Brazil
S1415-47572006000300015	2	,Universidade Federal de São Carlos Departamento de Genética e Evolução Laboratório de Biologia Molecular	São Carlos SP	Brazil
S1415-47572006000300016	1	,Facultad de Veterinaria Area Genética, Montevideo Laboratorio de Análisis Genéticos en Animales Domésticos	Montevideo 	Uruguay
S1415-47572006000300017	1	,Centro de Biotecnología Genómica Laboratório de Biotecnología Animal I 	Tamaulipas 	México
S1415-47572006000300018	1	,Instituto Nacional de Pesquisas da Amazônia Coordenação de Pesquisas em Biologia Aquática 	Manaus AM	Brazil
S1415-47572006000300019	1	,INFAP Centro Nacional de Investigación Disciplinaria en Microbiología 	Mexico City 	Mexico
S1415-47572006000300019	2	,UNAM Facultad de Medicina Veterinaria y Zootecnia 	Mexico City 	Mexico
S1415-47572006000300019	3	,IPN Centro de Investigaciones y de Estudios Avanzados 	Mexico City 	Mexico
S1415-47572006000300019	4	,UAEH Instituto de Ciencias Agropecuarias Centro de Investigaciones en Ciencias Veterinarias	Tulancingo Hidalgo	Mexico
S1415-47572006000300019	5	,UNAM Instituto de Investigaciones Biomédicas Departamento de Inmunología	Mexico City 	Mexico
S1415-47572006000300020	1	,Universidade Federal de Pelotas Instituto de Química e Geociências Departamento de Bioquímica	Pelotas RS	Brazil
S1415-47572006000300020	2	,Universidade Estadual do Rio Grande do Sul Engenharia de Bioprocessos e Biotecnologia 	Novo Hamburgo RS	Brazil
S1415-47572006000300021	1	,Universidade Estadual Paulista Instituto de Biociências Departamento de Genética	Botucatu SP	Brazil
S1415-47572006000300021	2	,Instituto Agronômico de Campinas  	Campinas SP	Brazil
S1415-47572006000300023	1	,Zhejiang University College of Agriculture and Biotechnology Department of Agronomy	Hangzhou 	China
S1415-47572006000300024	1	,Universidade Federal de Santa Maria Departamento de Biologia 	Santa Maria RS	Brazil
S1415-47572006000300026	1	,Istanbul University Faculty of Science Department of Molecular Biology and Genetics	Vezneciler Istanbul	Turkey
S1415-47572006000300026	2	,Istanbul University Research and Application Center for Biotechnology and Genetic Engineering 	Vezneciler Istanbul	Turkey
S1415-47572006000300027	1	,University of Victoria Department of Biology Centre for Environmental Health	Victoria BC	Canada
S1415-47572006000300027	2	,Universidade Católica de Goiás Departamento de Biologia Núcleo de Pesquisas Replicon	Goiânia GO	Brazil
S1415-47572006000300027	3	,Universidade Estadual de Goiás Unidade Universitária de Ciências Exatas e Tecnológicas 	Anápolis GO	Brazil
S1415-47572006000300028	1	,East China University of Science and Technology Institute of Biochemistry State Key Laboratory of Bioreactor Engineering	Shanghai P.R.	China
S1415-47572006000300028	2	,Shanghai Bioengineering Research Center  	Shanghai 	China
S1415-47572006000300029	1	,Universidade de São Paulo Faculdade de Medicina de Ribeirão Preto Departamento de Genética	Ribeirão Preto São Paulo	Brazil
S1415-47572006000300029	2	,Universidade de São Paulo Faculdade de Filosofia Ciências e Letras de Ribeirão Preto Departamento de Biologia	Ribeirão Preto São Paulo	Brazil
S1415-47572006000300030	1	,Universidade de São Paulo Instituto de Biociências Departamento de Genética e Biologia Evolutiva	São Paulo SP	Brazil
S1415-47572006000300031	1	,Anhui Normal University Life Science College 	Wuhu Anhui province	China
S1415-47572006000300032	1	,Universidade de São Paulo Instituto de Biociências Departamento de Genética e Biologia Evolutiva	São Paulo SP	Brazil
S1415-47572006000400002	1	,Universidad de la República Facultad de Medicina Departamento de Genética	Montevideo 	Uruguay
S1415-47572006000400002	2	,Universidad de la República Facultad de Humanidades y Ciencias de la Educación Sección Antropología Biológica	Montevideo 	Uruguay
S1415-47572006000400002	3	,Universidade Estadual de Campinas Faculdade de Ciências Médicas Departamento de Patologia Clínica	Campinas SP	Brazil
S1415-47572006000400002	4	,Universidade Estadual de Campinas Hemocentro 	Campinas SP	Brazil
S1415-47572006000400003	1	,Universidade de São Paulo Instituto de Biociências Departamento de Genética e Biologia Evolutiva	São Paulo SP	Brazil
S1415-47572006000400004	1	,Universidade de São Paulo Faculdade de Medicina de Ribeirão Preto Departamento de Genética	Ribeirão Preto SP	Brazil
S1415-47572006000400005	1	,University of Helsinki Department of Forensic Medicine 	Helsinki 	Finland
S1415-47572006000400006	1	,Universidade Federal do Rio Grande do Sul Instituto de Biociências Departamento de Genética	Porto Alegre RS	Brazil
S1415-47572006000400007	1	,Chulalongkorn University Faculty of Medicine Department of Pediatrics	Bangkok 	Thailand
S1415-47572006000400007	2	,Prince of Songkla University Faculty of Medicine Department of Pediatrics	Hatyai Songkhla	Thailand
S1415-47572006000400008	1	,Universidade Federal de São Carlos Departamento de Genética e Evolução Laboratório de Citogenética	São Carlos SP	Brazil
S1415-47572006000400008	2	,Universidade Estadual de Ponta Grossa Departamento de Biologia Estrutural, Molecular e Genética 	Ponta Grossa PR	Brazil
S1415-47572006000400009	1	,Bangladesh Agricultural University Department of Fisheries Biology and Genetics 	Mymensingh 	Bangladesh
S1415-47572006000400009	2	,Bangladesh Agricultural University Department of Biotechnology 	Mymensingh 	Bangladesh
S1415-47572006000400010	1	,Universidade Federal de Viçosa Departamento de Zootecnia 	Viçosa MG	Brazil
S1415-47572006000400010	2	,Sistema FAESA de Ensino  	Vitória ES	Brazil
S1415-47572006000400010	3	,Embrapa Recursos Genéticos e Biotecnologia Laboratório Genética Animal 	Brasília DF	Brazil
S1415-47572006000400010	4	,Universidade Estadual de Santa Cruz Departamento de Ciências Agrárias 	Ilhéus BA	Brazil
S1415-47572006000400011	1	,Embrapa Gado de Leite  	Juiz de Fora MG	Brazil
